iso3,cluster,method,k,year
116,0,kmeans_cosine_hs2_shares,10,2023
184,0,kmeans_cosine_hs2_shares,10,2023
188,0,kmeans_cosine_hs2_shares,10,2023
212,0,kmeans_cosine_hs2_shares,10,2023
270,0,kmeans_cosine_hs2_shares,10,2023
28,0,kmeans_cosine_hs2_shares,10,2023
292,0,kmeans_cosine_hs2_shares,10,2023
308,0,kmeans_cosine_hs2_shares,10,2023
324,0,kmeans_cosine_hs2_shares,10,2023
40,0,kmeans_cosine_hs2_shares,10,2023
490,0,kmeans_cosine_hs2_shares,10,2023
496,0,kmeans_cosine_hs2_shares,10,2023
534,0,kmeans_cosine_hs2_shares,10,2023
558,0,kmeans_cosine_hs2_shares,10,2023
585,0,kmeans_cosine_hs2_shares,10,2023
598,0,kmeans_cosine_hs2_shares,10,2023
659,0,kmeans_cosine_hs2_shares,10,2023
662,0,kmeans_cosine_hs2_shares,10,2023
670,0,kmeans_cosine_hs2_shares,10,2023
678,0,kmeans_cosine_hs2_shares,10,2023
716,0,kmeans_cosine_hs2_shares,10,2023
76,0,kmeans_cosine_hs2_shares,10,2023
882,0,kmeans_cosine_hs2_shares,10,2023
894,0,kmeans_cosine_hs2_shares,10,2023
132,1,kmeans_cosine_hs2_shares,10,2023
136,1,kmeans_cosine_hs2_shares,10,2023
162,1,kmeans_cosine_hs2_shares,10,2023
304,1,kmeans_cosine_hs2_shares,10,2023
400,1,kmeans_cosine_hs2_shares,10,2023
414,1,kmeans_cosine_hs2_shares,10,2023
462,1,kmeans_cosine_hs2_shares,10,2023
500,1,kmeans_cosine_hs2_shares,10,2023
533,1,kmeans_cosine_hs2_shares,10,2023
612,1,kmeans_cosine_hs2_shares,10,2023
666,1,kmeans_cosine_hs2_shares,10,2023
68,1,kmeans_cosine_hs2_shares,10,2023
690,1,kmeans_cosine_hs2_shares,10,2023
72,1,kmeans_cosine_hs2_shares,10,2023
729,1,kmeans_cosine_hs2_shares,10,2023
776,1,kmeans_cosine_hs2_shares,10,2023
12,2,kmeans_cosine_hs2_shares,10,2023
120,2,kmeans_cosine_hs2_shares,10,2023
174,2,kmeans_cosine_hs2_shares,10,2023
226,2,kmeans_cosine_hs2_shares,10,2023
328,2,kmeans_cosine_hs2_shares,10,2023
332,2,kmeans_cosine_hs2_shares,10,2023
548,2,kmeans_cosine_hs2_shares,10,2023
574,2,kmeans_cosine_hs2_shares,10,2023
90,2,kmeans_cosine_hs2_shares,10,2023
96,2,kmeans_cosine_hs2_shares,10,2023
112,3,kmeans_cosine_hs2_shares,10,2023
124,3,kmeans_cosine_hs2_shares,10,2023
140,3,kmeans_cosine_hs2_shares,10,2023
148,3,kmeans_cosine_hs2_shares,10,2023
204,3,kmeans_cosine_hs2_shares,10,2023
218,3,kmeans_cosine_hs2_shares,10,2023
222,3,kmeans_cosine_hs2_shares,10,2023
242,3,kmeans_cosine_hs2_shares,10,2023
258,3,kmeans_cosine_hs2_shares,10,2023
262,3,kmeans_cosine_hs2_shares,10,2023
288,3,kmeans_cosine_hs2_shares,10,2023
320,3,kmeans_cosine_hs2_shares,10,2023
340,3,kmeans_cosine_hs2_shares,10,2023
344,3,kmeans_cosine_hs2_shares,10,2023
352,3,kmeans_cosine_hs2_shares,10,2023
36,3,kmeans_cosine_hs2_shares,10,2023
364,3,kmeans_cosine_hs2_shares,10,2023
388,3,kmeans_cosine_hs2_shares,10,2023
398,3,kmeans_cosine_hs2_shares,10,2023
410,3,kmeans_cosine_hs2_shares,10,2023
417,3,kmeans_cosine_hs2_shares,10,2023
418,3,kmeans_cosine_hs2_shares,10,2023
422,3,kmeans_cosine_hs2_shares,10,2023
428,3,kmeans_cosine_hs2_shares,10,2023
450,3,kmeans_cosine_hs2_shares,10,2023
478,3,kmeans_cosine_hs2_shares,10,2023
480,3,kmeans_cosine_hs2_shares,10,2023
484,3,kmeans_cosine_hs2_shares,10,2023
499,3,kmeans_cosine_hs2_shares,10,2023
51,3,kmeans_cosine_hs2_shares,10,2023
516,3,kmeans_cosine_hs2_shares,10,2023
528,3,kmeans_cosine_hs2_shares,10,2023
591,3,kmeans_cosine_hs2_shares,10,2023
604,3,kmeans_cosine_hs2_shares,10,2023
634,3,kmeans_cosine_hs2_shares,10,2023
682,3,kmeans_cosine_hs2_shares,10,2023
686,3,kmeans_cosine_hs2_shares,10,2023
70,3,kmeans_cosine_hs2_shares,10,2023
764,3,kmeans_cosine_hs2_shares,10,2023
792,3,kmeans_cosine_hs2_shares,10,2023
796,3,kmeans_cosine_hs2_shares,10,2023
800,3,kmeans_cosine_hs2_shares,10,2023
804,3,kmeans_cosine_hs2_shares,10,2023
807,3,kmeans_cosine_hs2_shares,10,2023
818,3,kmeans_cosine_hs2_shares,10,2023
84,3,kmeans_cosine_hs2_shares,10,2023
858,3,kmeans_cosine_hs2_shares,10,2023
100,4,kmeans_cosine_hs2_shares,10,2023
152,4,kmeans_cosine_hs2_shares,10,2023
196,4,kmeans_cosine_hs2_shares,10,2023
203,4,kmeans_cosine_hs2_shares,10,2023
208,4,kmeans_cosine_hs2_shares,10,2023
214,4,kmeans_cosine_hs2_shares,10,2023
231,4,kmeans_cosine_hs2_shares,10,2023
24,4,kmeans_cosine_hs2_shares,10,2023
276,4,kmeans_cosine_hs2_shares,10,2023
31,4,kmeans_cosine_hs2_shares,10,2023
348,4,kmeans_cosine_hs2_shares,10,2023
368,4,kmeans_cosine_hs2_shares,10,2023
392,4,kmeans_cosine_hs2_shares,10,2023
440,4,kmeans_cosine_hs2_shares,10,2023
442,4,kmeans_cosine_hs2_shares,10,2023
48,4,kmeans_cosine_hs2_shares,10,2023
498,4,kmeans_cosine_hs2_shares,10,2023
508,4,kmeans_cosine_hs2_shares,10,2023
554,4,kmeans_cosine_hs2_shares,10,2023
566,4,kmeans_cosine_hs2_shares,10,2023
579,4,kmeans_cosine_hs2_shares,10,2023
586,4,kmeans_cosine_hs2_shares,10,2023
60,4,kmeans_cosine_hs2_shares,10,2023
616,4,kmeans_cosine_hs2_shares,10,2023
624,4,kmeans_cosine_hs2_shares,10,2023
688,4,kmeans_cosine_hs2_shares,10,2023
705,4,kmeans_cosine_hs2_shares,10,2023
752,4,kmeans_cosine_hs2_shares,10,2023
798,4,kmeans_cosine_hs2_shares,10,2023
8,4,kmeans_cosine_hs2_shares,10,2023
887,4,kmeans_cosine_hs2_shares,10,2023
92,4,kmeans_cosine_hs2_shares,10,2023
20,5,kmeans_cosine_hs2_shares,10,2023
376,5,kmeans_cosine_hs2_shares,10,2023
44,5,kmeans_cosine_hs2_shares,10,2023
748,5,kmeans_cosine_hs2_shares,10,2023
170,6,kmeans_cosine_hs2_shares,10,2023
178,6,kmeans_cosine_hs2_shares,10,2023
192,6,kmeans_cosine_hs2_shares,10,2023
251,6,kmeans_cosine_hs2_shares,10,2023
275,6,kmeans_cosine_hs2_shares,10,2023
300,6,kmeans_cosine_hs2_shares,10,2023
360,6,kmeans_cosine_hs2_shares,10,2023
372,6,kmeans_cosine_hs2_shares,10,2023
380,6,kmeans_cosine_hs2_shares,10,2023
434,6,kmeans_cosine_hs2_shares,10,2023
454,6,kmeans_cosine_hs2_shares,10,2023
458,6,kmeans_cosine_hs2_shares,10,2023
466,6,kmeans_cosine_hs2_shares,10,2023
470,6,kmeans_cosine_hs2_shares,10,2023
504,6,kmeans_cosine_hs2_shares,10,2023
56,6,kmeans_cosine_hs2_shares,10,2023
562,6,kmeans_cosine_hs2_shares,10,2023
620,6,kmeans_cosine_hs2_shares,10,2023
642,6,kmeans_cosine_hs2_shares,10,2023
646,6,kmeans_cosine_hs2_shares,10,2023
674,6,kmeans_cosine_hs2_shares,10,2023
694,6,kmeans_cosine_hs2_shares,10,2023
699,6,kmeans_cosine_hs2_shares,10,2023
702,6,kmeans_cosine_hs2_shares,10,2023
704,6,kmeans_cosine_hs2_shares,10,2023
710,6,kmeans_cosine_hs2_shares,10,2023
724,6,kmeans_cosine_hs2_shares,10,2023
760,6,kmeans_cosine_hs2_shares,10,2023
768,6,kmeans_cosine_hs2_shares,10,2023
788,6,kmeans_cosine_hs2_shares,10,2023
826,6,kmeans_cosine_hs2_shares,10,2023
842,6,kmeans_cosine_hs2_shares,10,2023
104,7,kmeans_cosine_hs2_shares,10,2023
180,7,kmeans_cosine_hs2_shares,10,2023
191,7,kmeans_cosine_hs2_shares,10,2023
233,7,kmeans_cosine_hs2_shares,10,2023
268,7,kmeans_cosine_hs2_shares,10,2023
32,7,kmeans_cosine_hs2_shares,10,2023
384,7,kmeans_cosine_hs2_shares,10,2023
4,7,kmeans_cosine_hs2_shares,10,2023
430,7,kmeans_cosine_hs2_shares,10,2023
446,7,kmeans_cosine_hs2_shares,10,2023
512,7,kmeans_cosine_hs2_shares,10,2023
52,7,kmeans_cosine_hs2_shares,10,2023
540,7,kmeans_cosine_hs2_shares,10,2023
600,7,kmeans_cosine_hs2_shares,10,2023
626,7,kmeans_cosine_hs2_shares,10,2023
703,7,kmeans_cosine_hs2_shares,10,2023
762,7,kmeans_cosine_hs2_shares,10,2023
780,7,kmeans_cosine_hs2_shares,10,2023
834,7,kmeans_cosine_hs2_shares,10,2023
854,7,kmeans_cosine_hs2_shares,10,2023
108,8,kmeans_cosine_hs2_shares,10,2023
144,8,kmeans_cosine_hs2_shares,10,2023
16,8,kmeans_cosine_hs2_shares,10,2023
166,8,kmeans_cosine_hs2_shares,10,2023
232,8,kmeans_cosine_hs2_shares,10,2023
